County,Site,LabSampleNum,WRIANumber,CollectDate,Parameter,Toxin Concentration (µg/L),MDL (µg/L),ExceedInd,ScumInd,Location,ClientLocator,SiteID
King,Beaver Lake,L51208-1,8,07/06/2010,Microcystin,<MDL,0.050,No,Yes,,,22
King,Beaver Lake,L50452-2,8,06/21/2010,Anatoxin-a,<MDL,0.019,No,No,,BEAVKING022,22
King,Beaver Lake,L50452-2,8,06/21/2010,Microcystin,<MDL,0.050,No,No,,BEAVKING022,22
King,Beaver Lake,L50450-2,8,06/06/2010,Anatoxin-a,<MDL,0.019,No,No,,BEAVKING022,22
King,Beaver Lake,L50450-2,8,06/06/2010,Microcystin,<MDL,0.050,No,No,,BEAVKING022,22
King,Beaver Lake,L48998-1,8,10/18/2009,Anatoxin-a,<MDL,0.006,No,No,,BEAVKING022,22
King,Beaver Lake,L48998-1,8,10/18/2009,Microcystin,<MDL,0.050,No,No,,BEAVKING022,22
King,Beaver Lake,L48997-1,8,10/04/2009,Anatoxin-a,<MDL,0.012,No,No,,BEAVKING022,22
King,Beaver Lake,L48997-1,8,10/04/2009,Microcystin,<MDL,0.050,No,No,,BEAVKING022,22
King,Beaver Lake,L48899-1,8,09/20/2009,Anatoxin-a,<MDL,0.012,No,No,,BEAVKING022,22
King,Beaver Lake,L48899-1,8,09/20/2009,Microcystin,<MDL,0.050,No,No,,BEAVKING022,22
King,Beaver Lake,L49114-1,8,09/13/2009,Anatoxin-a,<MDL,0.038,No,No,,,22
King,Beaver Lake,L49114-1,8,09/13/2009,Microcystin,<MDL,0.050,No,No,,,22
King,Beaver Lake,L48898-1,8,09/07/2009,Anatoxin-a,<MDL,0.012,No,No,,BEAVKING022,22
King,Beaver Lake,L48898-1,8,09/07/2009,Microcystin,<MDL,0.050,No,No,,BEAVKING022,22
King,Beaver Lake,L48754-1,8,08/23/2009,Anatoxin-a,<MDL,0.006,No,No,,BEAVKING022,22
King,Beaver Lake,L48754-1,8,08/23/2009,Microcystin,<MDL,0.050,No,No,,BEAVKING022,22
King,Beaver Lake,L48639-1,8,08/09/2009,Anatoxin-a,<MDL,0.004,No,No,,BEAVKING022,22
King,Beaver Lake,L48639-1,8,08/09/2009,Microcystin,<MDL,0.050,No,No,,BEAVKING022,22
